Iteration	Mach	Pressure [Pa]	Velocity [m/s]	Temperature [K]	Density [kg/m^3]	Speed of Sound [m/s]	Y_O2	Y_N2	Y_H2	Y_OH	Y_O	Y_H	Y_H2O	Y_NO	Y_N	Y_HO2	Y_H2O2	Y_HNO	Y_NO2	Mass flow rate [kg/s]	Area [m^2]	Axial location
84	1.999579	5.951622e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
85	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
86	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
87	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
88	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
89	1.999579	5.951622e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
90	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
91	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
92	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
93	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
94	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
95	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
96	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
97	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
98	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
